chunk_file,recording_id,species,english_name,label_id
XC101288_chunk_001.wav,101288,Spatula discors,Blue-winged Teal,44
XC101288_chunk_002.wav,101288,Spatula discors,Blue-winged Teal,44
XC101288_chunk_003.wav,101288,Spatula discors,Blue-winged Teal,44
XC101288_chunk_004.wav,101288,Spatula discors,Blue-winged Teal,44
XC101292_chunk_001.wav,101292,Mniotilta varia,Black-and-white Warbler,24
XC101292_chunk_002.wav,101292,Mniotilta varia,Black-and-white Warbler,24
XC101292_chunk_003.wav,101292,Mniotilta varia,Black-and-white Warbler,24
XC101292_chunk_004.wav,101292,Mniotilta varia,Black-and-white Warbler,24
XC101293_chunk_001.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_002.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_003.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_004.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_005.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_006.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_007.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_008.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_009.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_010.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_011.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_012.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_013.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_014.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_015.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101293_chunk_016.wav,101293,Setophaga virens,Black-throated Green Warbler,43
XC101580_chunk_001.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_002.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_003.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_004.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_005.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_006.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_007.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_008.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_009.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_010.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_011.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_012.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_013.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_014.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_015.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_016.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_017.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101580_chunk_018.wav,101580,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_001.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_002.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_003.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_004.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_005.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_006.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_007.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_008.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_009.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_010.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_011.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_012.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_013.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_014.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_015.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_016.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_017.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_018.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_019.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_020.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_021.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_022.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_023.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_024.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_025.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_026.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101581_chunk_027.wav,101581,Setophaga fusca,Blackburnian Warbler,39
XC101591_chunk_001.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_002.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_003.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_004.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_005.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_006.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_007.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_008.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_009.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_010.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_011.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_012.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101591_chunk_013.wav,101591,Setophaga virens,Black-throated Green Warbler,43
XC101593_chunk_001.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_002.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_003.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_004.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_005.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_006.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_007.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_008.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_009.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_010.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_011.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_012.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_013.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_014.wav,101593,Setophaga ruticilla,American Redstart,41
XC101593_chunk_015.wav,101593,Setophaga ruticilla,American Redstart,41
XC101614_chunk_001.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_002.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_003.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_004.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_005.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_006.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_007.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_008.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_009.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_010.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_011.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_012.wav,101614,Icterus galbula,Baltimore Oriole,21
XC101614_chunk_013.wav,101614,Icterus galbula,Baltimore Oriole,21
XC102972_chunk_001.wav,102972,Molothrus ater,Brown-headed Cowbird,25
XC102972_chunk_002.wav,102972,Molothrus ater,Brown-headed Cowbird,25
XC102972_chunk_003.wav,102972,Molothrus ater,Brown-headed Cowbird,25
XC104520_chunk_001.wav,104520,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104520_chunk_002.wav,104520,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104520_chunk_003.wav,104520,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104520_chunk_004.wav,104520,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104520_chunk_005.wav,104520,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104521_chunk_001.wav,104521,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104521_chunk_002.wav,104521,Euphagus cyanocephalus,Brewer's Blackbird,16
XC104521_chunk_003.wav,104521,Euphagus cyanocephalus,Brewer's Blackbird,16
XC109162_chunk_001.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_002.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_003.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_004.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_005.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_006.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_007.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_008.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_009.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_010.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_011.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_012.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_013.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_014.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_015.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_016.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_017.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_018.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_019.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_020.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_021.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_022.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_023.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_024.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_025.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_026.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_027.wav,109162,Cyanocitta cristata,Blue Jay,13
XC109162_chunk_028.wav,109162,Cyanocitta cristata,Blue Jay,13
